loss,delay,fast_recovery,md5_hash,ttc
0.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.4957315921783447
0.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5087661743164062
0.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.4969732761383057
0.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.4979264736175537
0.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5007150173187256
0.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.4986963272094727
0.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.5108108520507812
0.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.512629270553589
0.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.4959590435028076
0.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.500922441482544
0.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.507188081741333
0.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5367379188537598
0.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.498652458190918
0.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.510695457458496
0.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.4995343685150146
0.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.4990792274475098
0.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.6309566497802734
0.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.5005292892456055
0.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.4981560707092285
0.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.5908095836639404
1.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.710350513458252
1.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.533029079437256
1.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5875091552734375
1.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.576228141784668
1.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.504865884780884
1.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.7876641750335693
1.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.5063295364379883
1.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.983858346939087
1.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.50634765625
1.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.5948925018310547
1.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.664680004119873
