loss,delay,md5_hash,throughput
0.5,20,eab4b056e3b71e00905807aecdcc30c0,460661.3754432989
0.5,20,eab4b056e3b71e00905807aecdcc30c0,304932.1675994611
0.5,20,eab4b056e3b71e00905807aecdcc30c0,327825.4675210201
0.5,20,eab4b056e3b71e00905807aecdcc30c0,389319.57226553094
0.5,20,eab4b056e3b71e00905807aecdcc30c0,332154.3620556468
1.0,20,eab4b056e3b71e00905807aecdcc30c0,224288.57820002406
1.0,20,eab4b056e3b71e00905807aecdcc30c0,261023.96534496287
1.0,20,eab4b056e3b71e00905807aecdcc30c0,262200.8738938156
1.0,20,eab4b056e3b71e00905807aecdcc30c0,211117.78231740912
1.0,20,eab4b056e3b71e00905807aecdcc30c0,242729.41467640243
1.5,20,eab4b056e3b71e00905807aecdcc30c0,192780.8073038722
1.5,20,eab4b056e3b71e00905807aecdcc30c0,185502.9295804212
1.5,20,eab4b056e3b71e00905807aecdcc30c0,199877.97990473203
1.5,20,eab4b056e3b71e00905807aecdcc30c0,187198.5400266129
1.5,20,eab4b056e3b71e00905807aecdcc30c0,214341.81778366197
2.0,20,eab4b056e3b71e00905807aecdcc30c0,164511.66483487267
2.0,20,eab4b056e3b71e00905807aecdcc30c0,152857.54647963867
2.0,20,eab4b056e3b71e00905807aecdcc30c0,165555.6079634221
2.0,20,eab4b056e3b71e00905807aecdcc30c0,159409.3901870973
2.0,20,eab4b056e3b71e00905807aecdcc30c0,145474.14057850986
2.5,20,eab4b056e3b71e00905807aecdcc30c0,149802.33636292588
2.5,20,eab4b056e3b71e00905807aecdcc30c0,143543.091708664
2.5,20,eab4b056e3b71e00905807aecdcc30c0,156047.8083144554
2.5,20,eab4b056e3b71e00905807aecdcc30c0,140640.39869946806
2.5,20,eab4b056e3b71e00905807aecdcc30c0,138667.17390288226
3.0,20,eab4b056e3b71e00905807aecdcc30c0,140167.9803647585
3.0,20,eab4b056e3b71e00905807aecdcc30c0,131945.4563718889
3.0,20,eab4b056e3b71e00905807aecdcc30c0,130399.84575210184
3.0,20,eab4b056e3b71e00905807aecdcc30c0,132142.75708522534
3.0,20,eab4b056e3b71e00905807aecdcc30c0,135422.6626829107
3.5,20,eab4b056e3b71e00905807aecdcc30c0,124800.37419498066
3.5,20,eab4b056e3b71e00905807aecdcc30c0,124150.14640301834
3.5,20,eab4b056e3b71e00905807aecdcc30c0,123545.72887339862
3.5,20,eab4b056e3b71e00905807aecdcc30c0,123059.44510040803
3.5,20,eab4b056e3b71e00905807aecdcc30c0,121200.6183254688
4.0,20,eab4b056e3b71e00905807aecdcc30c0,114341.89578686905
4.0,20,eab4b056e3b71e00905807aecdcc30c0,116655.06913004373
4.0,20,eab4b056e3b71e00905807aecdcc30c0,116743.51897260624
4.0,20,eab4b056e3b71e00905807aecdcc30c0,121994.17616657917
4.0,20,eab4b056e3b71e00905807aecdcc30c0,118837.93138677943
4.5,20,eab4b056e3b71e00905807aecdcc30c0,111110.1230092101
4.5,20,eab4b056e3b71e00905807aecdcc30c0,112778.61736237042
4.5,20,eab4b056e3b71e00905807aecdcc30c0,109552.12508693665
4.5,20,eab4b056e3b71e00905807aecdcc30c0,111912.48176396717
4.5,20,eab4b056e3b71e00905807aecdcc30c0,110746.32071876062
5.0,20,eab4b056e3b71e00905807aecdcc30c0,102717.89955502811
5.0,20,eab4b056e3b71e00905807aecdcc30c0,106361.77822152578
5.0,20,eab4b056e3b71e00905807aecdcc30c0,105254.35258035426
5.0,20,eab4b056e3b71e00905807aecdcc30c0,109403.64273011676
5.0,20,eab4b056e3b71e00905807aecdcc30c0,108607.65872695096
